University,Topic,Question,Expected_Answer
Indian University,Fees,What is the tuition fee for Indian University?,The tuition fee for Indian University is 62435 per semester.
Indian University,Placements,What is the highest placement package at Indian University?,The highest placement package at Indian University is 20.3 Lakh Per Annum.
Indian University,Facilities,Does Indian University have a hostel and what is the fee?,"Yes, Indian University has a hostel for both boys and girls. The fee is 58923 and the mess fee is 30884."
Indian University,Facilities,What are the library timings for Indian University?,The library timings for Indian University are 8:00 AM to 8:00 PM.
Indian University,Academics,What is the attendance rule at Indian University?,The attendance rule at Indian University is Minimum 75% attendance mandatory.
Indian Veterinary Research Institute,Fees,What is the tuition fee for Indian Veterinary Research Institute?,The tuition fee for Indian Veterinary Research Institute is 104285 per semester.
Indian Veterinary Research Institute,Placements,What is the highest placement package at Indian Veterinary Research Institute?,The highest placement package at Indian Veterinary Research Institute is 43.2 Lakh Per Annum.
Indian Veterinary Research Institute,Facilities,Does Indian Veterinary Research Institute have a hostel and what is the fee?,"Yes, Indian Veterinary Research Institute has a hostel for both boys and girls. The fee is 78673 and the mess fee is 34708."
Indian Veterinary Research Institute,Facilities,What are the library timings for Indian Veterinary Research Institute?,The library timings for Indian Veterinary Research Institute are 8:00 AM to 8:00 PM.
Indian Veterinary Research Institute,Academics,What is the attendance rule at Indian Veterinary Research Institute?,The attendance rule at Indian Veterinary Research Institute is Minimum 75% attendance mandatory.
Jadavpur University,Fees,What is the tuition fee for Jadavpur University?,The tuition fee for Jadavpur University is 120818 per semester.
Jadavpur University,Placements,What is the highest placement package at Jadavpur University?,The highest placement package at Jadavpur University is 42.0 Lakh Per Annum.
Jadavpur University,Facilities,Does Jadavpur University have a hostel and what is the fee?,"Yes, Jadavpur University has a hostel for both boys and girls. The fee is 46093 and the mess fee is 37996."
Jadavpur University,Facilities,What are the library timings for Jadavpur University?,The library timings for Jadavpur University are 8:00 AM to 8:00 PM.
Jadavpur University,Academics,What is the attendance rule at Jadavpur University?,The attendance rule at Jadavpur University is Minimum 75% attendance mandatory.
First Global University to teaching Jainism,Fees,What is the tuition fee for First Global University to teaching Jainism?,The tuition fee for First Global University to teaching Jainism is 119023 per semester.
First Global University to teaching Jainism,Placements,What is the highest placement package at First Global University to teaching Jainism?,The highest placement package at First Global University to teaching Jainism is 34.8 Lakh Per Annum.
First Global University to teaching Jainism,Facilities,Does First Global University to teaching Jainism have a hostel and what is the fee?,"Yes, First Global University to teaching Jainism has a hostel for both boys and girls. The fee is 60860 and the mess fee is 40028."
First Global University to teaching Jainism,Facilities,What are the library timings for First Global University to teaching Jainism?,The library timings for First Global University to teaching Jainism are 8:00 AM to 8:00 PM.
First Global University to teaching Jainism,Academics,What is the attendance rule at First Global University to teaching Jainism?,The attendance rule at First Global University to teaching Jainism is Minimum 75% attendance mandatory.
Jamia Hamdard University,Fees,What is the tuition fee for Jamia Hamdard University?,The tuition fee for Jamia Hamdard University is 120560 per semester.
Jamia Hamdard University,Placements,What is the highest placement package at Jamia Hamdard University?,The highest placement package at Jamia Hamdard University is 31.3 Lakh Per Annum.
Jamia Hamdard University,Facilities,Does Jamia Hamdard University have a hostel and what is the fee?,"Yes, Jamia Hamdard University has a hostel for both boys and girls. The fee is 53287 and the mess fee is 40628."
Jamia Hamdard University,Facilities,What are the library timings for Jamia Hamdard University?,The library timings for Jamia Hamdard University are 8:00 AM to 8:00 PM.
Jamia Hamdard University,Academics,What is the attendance rule at Jamia Hamdard University?,The attendance rule at Jamia Hamdard University is Minimum 75% attendance mandatory.
University of Jammu,Fees,What is the tuition fee for University of Jammu?,The tuition fee for University of Jammu is 85446 per semester.
University of Jammu,Placements,What is the highest placement package at University of Jammu?,The highest placement package at University of Jammu is 36.9 Lakh Per Annum.
University of Jammu,Facilities,Does University of Jammu have a hostel and what is the fee?,"Yes, University of Jammu has a hostel for both boys and girls. The fee is 80737 and the mess fee is 33809."
University of Jammu,Facilities,What are the library timings for University of Jammu?,The library timings for University of Jammu are 8:00 AM to 8:00 PM.
University of Jammu,Academics,What is the attendance rule at University of Jammu?,The attendance rule at University of Jammu is Minimum 75% attendance mandatory.
Jaypee Institute of Information Technology,Fees,What is the tuition fee for Jaypee Institute of Information Technology?,The tuition fee for Jaypee Institute of Information Technology is 127876 per semester.
Jaypee Institute of Information Technology,Placements,What is the highest placement package at Jaypee Institute of Information Technology?,The highest placement package at Jaypee Institute of Information Technology is 22.6 Lakh Per Annum.
Jaypee Institute of Information Technology,Facilities,Does Jaypee Institute of Information Technology have a hostel and what is the fee?,"Yes, Jaypee Institute of Information Technology has a hostel for both boys and girls. The fee is 70199 and the mess fee is 31485."
Jaypee Institute of Information Technology,Facilities,What are the library timings for Jaypee Institute of Information Technology?,The library timings for Jaypee Institute of Information Technology are 8:00 AM to 8:00 PM.
Jaypee Institute of Information Technology,Academics,What is the attendance rule at Jaypee Institute of Information Technology?,The attendance rule at Jaypee Institute of Information Technology is Minimum 75% attendance mandatory.
Jiwaji University,Fees,What is the tuition fee for Jiwaji University?,The tuition fee for Jiwaji University is 67281 per semester.
Jiwaji University,Placements,What is the highest placement package at Jiwaji University?,The highest placement package at Jiwaji University is 22.7 Lakh Per Annum.
Jiwaji University,Facilities,Does Jiwaji University have a hostel and what is the fee?,"Yes, Jiwaji University has a hostel for both boys and girls. The fee is 56988 and the mess fee is 40582."
Jiwaji University,Facilities,What are the library timings for Jiwaji University?,The library timings for Jiwaji University are 8:00 AM to 8:00 PM.
Jiwaji University,Academics,What is the attendance rule at Jiwaji University?,The attendance rule at Jiwaji University is Minimum 75% attendance mandatory.
Jamia Millia Islamia University,Fees,What is the tuition fee for Jamia Millia Islamia University?,The tuition fee for Jamia Millia Islamia University is 84259 per semester.
Jamia Millia Islamia University,Placements,What is the highest placement package at Jamia Millia Islamia University?,The highest placement package at Jamia Millia Islamia University is 18.9 Lakh Per Annum.
Jamia Millia Islamia University,Facilities,Does Jamia Millia Islamia University have a hostel and what is the fee?,"Yes, Jamia Millia Islamia University has a hostel for both boys and girls. The fee is 46528 and the mess fee is 25086."
Jamia Millia Islamia University,Facilities,What are the library timings for Jamia Millia Islamia University?,The library timings for Jamia Millia Islamia University are 8:00 AM to 8:00 PM.
Jamia Millia Islamia University,Academics,What is the attendance rule at Jamia Millia Islamia University?,The attendance rule at Jamia Millia Islamia University is Minimum 75% attendance mandatory.
Jawaharlal Nehru Centre for Advanced Scientific Research,Fees,What is the tuition fee for Jawaharlal Nehru Centre for Advanced Scientific Research?,The tuition fee for Jawaharlal Nehru Centre for Advanced Scientific Research is 42391 per semester.
Jawaharlal Nehru Centre for Advanced Scientific Research,Placements,What is the highest placement package at Jawaharlal Nehru Centre for Advanced Scientific Research?,The highest placement package at Jawaharlal Nehru Centre for Advanced Scientific Research is 29.3 Lakh Per Annum.
Jawaharlal Nehru Centre for Advanced Scientific Research,Facilities,Does Jawaharlal Nehru Centre for Advanced Scientific Research have a hostel and what is the fee?,"Yes, Jawaharlal Nehru Centre for Advanced Scientific Research has a hostel for both boys and girls. The fee is 69697 and the mess fee is 38348."
Jawaharlal Nehru Centre for Advanced Scientific Research,Facilities,What are the library timings for Jawaharlal Nehru Centre for Advanced Scientific Research?,The library timings for Jawaharlal Nehru Centre for Advanced Scientific Research are 8:00 AM to 8:00 PM.
Jawaharlal Nehru Centre for Advanced Scientific Research,Academics,What is the attendance rule at Jawaharlal Nehru Centre for Advanced Scientific Research?,The attendance rule at Jawaharlal Nehru Centre for Advanced Scientific Research is Minimum 75% attendance mandatory.
Jawaharlal Nehru Agricultural University,Fees,What is the tuition fee for Jawaharlal Nehru Agricultural University?,The tuition fee for Jawaharlal Nehru Agricultural University is 81594 per semester.
Jawaharlal Nehru Agricultural University,Placements,What is the highest placement package at Jawaharlal Nehru Agricultural University?,The highest placement package at Jawaharlal Nehru Agricultural University is 28.0 Lakh Per Annum.
Jawaharlal Nehru Agricultural University,Facilities,Does Jawaharlal Nehru Agricultural University have a hostel and what is the fee?,"Yes, Jawaharlal Nehru Agricultural University has a hostel for both boys and girls. The fee is 45771 and the mess fee is 41871."
Jawaharlal Nehru Agricultural University,Facilities,What are the library timings for Jawaharlal Nehru Agricultural University?,The library timings for Jawaharlal Nehru Agricultural University are 8:00 AM to 8:00 PM.
Jawaharlal Nehru Agricultural University,Academics,What is the attendance rule at Jawaharlal Nehru Agricultural University?,The attendance rule at Jawaharlal Nehru Agricultural University is Minimum 75% attendance mandatory.
Jawaharlal Nehru Technological University Hyderabad,Fees,What is the tuition fee for Jawaharlal Nehru Technological University Hyderabad?,The tuition fee for Jawaharlal Nehru Technological University Hyderabad is 122543 per semester.
Jawaharlal Nehru Technological University Hyderabad,Placements,What is the highest placement package at Jawaharlal Nehru Technological University Hyderabad?,The highest placement package at Jawaharlal Nehru Technological University Hyderabad is 28.4 Lakh Per Annum.
Jawaharlal Nehru Technological University Hyderabad,Facilities,Does Jawaharlal Nehru Technological University Hyderabad have a hostel and what is the fee?,"Yes, Jawaharlal Nehru Technological University Hyderabad has a hostel for both boys and girls. The fee is 61050 and the mess fee is 31250."
Jawaharlal Nehru Technological University Hyderabad,Facilities,What are the library timings for Jawaharlal Nehru Technological University Hyderabad?,The library timings for Jawaharlal Nehru Technological University Hyderabad are 8:00 AM to 8:00 PM.
Jawaharlal Nehru Technological University Hyderabad,Academics,What is the attendance rule at Jawaharlal Nehru Technological University Hyderabad?,The attendance rule at Jawaharlal Nehru Technological University Hyderabad is Minimum 75% attendance mandatory.
Jawaharlal Nehru University,Fees,What is the tuition fee for Jawaharlal Nehru University?,The tuition fee for Jawaharlal Nehru University is 82409 per semester.
Jawaharlal Nehru University,Placements,What is the highest placement package at Jawaharlal Nehru University?,The highest placement package at Jawaharlal Nehru University is 20.6 Lakh Per Annum.
Jawaharlal Nehru University,Facilities,Does Jawaharlal Nehru University have a hostel and what is the fee?,"Yes, Jawaharlal Nehru University has a hostel for both boys and girls. The fee is 74780 and the mess fee is 29127."
Jawaharlal Nehru University,Facilities,What are the library timings for Jawaharlal Nehru University?,The library timings for Jawaharlal Nehru University are 8:00 AM to 8:00 PM.
Jawaharlal Nehru University,Academics,What is the attendance rule at Jawaharlal Nehru University?,The attendance rule at Jawaharlal Nehru University is Minimum 75% attendance mandatory.
Jaipur National University,Fees,What is the tuition fee for Jaipur National University?,The tuition fee for Jaipur National University is 81731 per semester.
Jaipur National University,Placements,What is the highest placement package at Jaipur National University?,The highest placement package at Jaipur National University is 23.8 Lakh Per Annum.
Jaipur National University,Facilities,Does Jaipur National University have a hostel and what is the fee?,"Yes, Jaipur National University has a hostel for both boys and girls. The fee is 84381 and the mess fee is 35556."
Jaipur National University,Facilities,What are the library timings for Jaipur National University?,The library timings for Jaipur National University are 8:00 AM to 8:00 PM.
Jaipur National University,Academics,What is the attendance rule at Jaipur National University?,The attendance rule at Jaipur National University is Minimum 75% attendance mandatory.
Jodhpur National University,Fees,What is the tuition fee for Jodhpur National University?,The tuition fee for Jodhpur National University is 2015 per semester.
Jodhpur National University,Placements,What is the highest placement package at Jodhpur National University?,The highest placement package at Jodhpur National University is 16.4 Lakh Per Annum.
Jodhpur National University,Facilities,Does Jodhpur National University have a hostel and what is the fee?,"Yes, Jodhpur National University has a hostel for both boys and girls. The fee is 67011 and the mess fee is 31205."
Jodhpur National University,Facilities,What are the library timings for Jodhpur National University?,The library timings for Jodhpur National University are 8:00 AM to 8:00 PM.
Jodhpur National University,Academics,What is the attendance rule at Jodhpur National University?,The attendance rule at Jodhpur National University is Minimum 75% attendance mandatory.
Jai Prakash University,Fees,What is the tuition fee for Jai Prakash University?,The tuition fee for Jai Prakash University is 52997 per semester.
Jai Prakash University,Placements,What is the highest placement package at Jai Prakash University?,The highest placement package at Jai Prakash University is 34.5 Lakh Per Annum.
Jai Prakash University,Facilities,Does Jai Prakash University have a hostel and what is the fee?,"Yes, Jai Prakash University has a hostel for both boys and girls. The fee is 70400 and the mess fee is 31140."
Jai Prakash University,Facilities,What are the library timings for Jai Prakash University?,The library timings for Jai Prakash University are 8:00 AM to 8:00 PM.
Jai Prakash University,Academics,What is the attendance rule at Jai Prakash University?,The attendance rule at Jai Prakash University is Minimum 75% attendance mandatory.
Rajasthan Vidyapeeth University,Fees,What is the tuition fee for Rajasthan Vidyapeeth University?,The tuition fee for Rajasthan Vidyapeeth University is 143729 per semester.
Rajasthan Vidyapeeth University,Placements,What is the highest placement package at Rajasthan Vidyapeeth University?,The highest placement package at Rajasthan Vidyapeeth University is 23.0 Lakh Per Annum.
Rajasthan Vidyapeeth University,Facilities,Does Rajasthan Vidyapeeth University have a hostel and what is the fee?,"Yes, Rajasthan Vidyapeeth University has a hostel for both boys and girls. The fee is 47435 and the mess fee is 35899."
Rajasthan Vidyapeeth University,Facilities,What are the library timings for Rajasthan Vidyapeeth University?,The library timings for Rajasthan Vidyapeeth University are 8:00 AM to 8:00 PM.
Rajasthan Vidyapeeth University,Academics,What is the attendance rule at Rajasthan Vidyapeeth University?,The attendance rule at Rajasthan Vidyapeeth University is Minimum 75% attendance mandatory.
Jain Vishva Bharati Institute,Fees,What is the tuition fee for Jain Vishva Bharati Institute?,The tuition fee for Jain Vishva Bharati Institute is 145354 per semester.
Jain Vishva Bharati Institute,Placements,What is the highest placement package at Jain Vishva Bharati Institute?,The highest placement package at Jain Vishva Bharati Institute is 31.8 Lakh Per Annum.
Jain Vishva Bharati Institute,Facilities,Does Jain Vishva Bharati Institute have a hostel and what is the fee?,"Yes, Jain Vishva Bharati Institute has a hostel for both boys and girls. The fee is 72045 and the mess fee is 42951."
Jain Vishva Bharati Institute,Facilities,What are the library timings for Jain Vishva Bharati Institute?,The library timings for Jain Vishva Bharati Institute are 8:00 AM to 8:00 PM.
Jain Vishva Bharati Institute,Academics,What is the attendance rule at Jain Vishva Bharati Institute?,The attendance rule at Jain Vishva Bharati Institute is Minimum 75% attendance mandatory.
Kalinga University,Fees,What is the tuition fee for Kalinga University?,The tuition fee for Kalinga University is 80916 per semester.
Kalinga University,Placements,What is the highest placement package at Kalinga University?,The highest placement package at Kalinga University is 38.8 Lakh Per Annum.
Kalinga University,Facilities,Does Kalinga University have a hostel and what is the fee?,"Yes, Kalinga University has a hostel for both boys and girls. The fee is 53266 and the mess fee is 33494."
Kalinga University,Facilities,What are the library timings for Kalinga University?,The library timings for Kalinga University are 8:00 AM to 8:00 PM.
Kalinga University,Academics,What is the attendance rule at Kalinga University?,The attendance rule at Kalinga University is Minimum 75% attendance mandatory.
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Fees,What is the tuition fee for Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya?,The tuition fee for Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya is 2026 per semester.
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Placements,What is the highest placement package at Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya?,The highest placement package at Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya is 36.9 Lakh Per Annum.
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Facilities,Does Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya have a hostel and what is the fee?,"Yes, Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya has a hostel for both boys and girls. The fee is 80903 and the mess fee is 41261."
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Facilities,What are the library timings for Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya?,The library timings for Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya are 8:00 AM to 8:00 PM.
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Academics,What is the attendance rule at Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya?,The attendance rule at Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya is Minimum 75% attendance mandatory.
Kannada University,Fees,What is the tuition fee for Kannada University?,The tuition fee for Kannada University is 96067 per semester.
Kannada University,Placements,What is the highest placement package at Kannada University?,The highest placement package at Kannada University is 39.9 Lakh Per Annum.
Kannada University,Facilities,Does Kannada University have a hostel and what is the fee?,"Yes, Kannada University has a hostel for both boys and girls. The fee is 57296 and the mess fee is 35615."
Kannada University,Facilities,What are the library timings for Kannada University?,The library timings for Kannada University are 8:00 AM to 8:00 PM.
Kannada University,Academics,What is the attendance rule at Kannada University?,The attendance rule at Kannada University is Minimum 75% attendance mandatory.
Kannur University,Fees,What is the tuition fee for Kannur University?,The tuition fee for Kannur University is 148107 per semester.
Kannur University,Placements,What is the highest placement package at Kannur University?,The highest placement package at Kannur University is 38.6 Lakh Per Annum.
Kannur University,Facilities,Does Kannur University have a hostel and what is the fee?,"Yes, Kannur University has a hostel for both boys and girls. The fee is 70999 and the mess fee is 29628."
Kannur University,Facilities,What are the library timings for Kannur University?,The library timings for Kannur University are 8:00 AM to 8:00 PM.
Kannur University,Academics,What is the attendance rule at Kannur University?,The attendance rule at Kannur University is Minimum 75% attendance mandatory.
Chhatrapati Shahu Ji Maharaj University,Fees,What is the tuition fee for Chhatrapati Shahu Ji Maharaj University?,The tuition fee for Chhatrapati Shahu Ji Maharaj University is 95395 per semester.
Chhatrapati Shahu Ji Maharaj University,Placements,What is the highest placement package at Chhatrapati Shahu Ji Maharaj University?,The highest placement package at Chhatrapati Shahu Ji Maharaj University is 42.1 Lakh Per Annum.
Chhatrapati Shahu Ji Maharaj University,Facilities,Does Chhatrapati Shahu Ji Maharaj University have a hostel and what is the fee?,"Yes, Chhatrapati Shahu Ji Maharaj University has a hostel for both boys and girls. The fee is 74609 and the mess fee is 37329."
Chhatrapati Shahu Ji Maharaj University,Facilities,What are the library timings for Chhatrapati Shahu Ji Maharaj University?,The library timings for Chhatrapati Shahu Ji Maharaj University are 8:00 AM to 8:00 PM.
Chhatrapati Shahu Ji Maharaj University,Academics,What is the attendance rule at Chhatrapati Shahu Ji Maharaj University?,The attendance rule at Chhatrapati Shahu Ji Maharaj University is Minimum 75% attendance mandatory.
Karnataka State Open University,Fees,What is the tuition fee for Karnataka State Open University?,The tuition fee for Karnataka State Open University is 147944 per semester.
Karnataka State Open University,Placements,What is the highest placement package at Karnataka State Open University?,The highest placement package at Karnataka State Open University is 21.3 Lakh Per Annum.
Karnataka State Open University,Facilities,Does Karnataka State Open University have a hostel and what is the fee?,"Yes, Karnataka State Open University has a hostel for both boys and girls. The fee is 52614 and the mess fee is 37585."
Karnataka State Open University,Facilities,What are the library timings for Karnataka State Open University?,The library timings for Karnataka State Open University are 8:00 AM to 8:00 PM.
Karnataka State Open University,Academics,What is the attendance rule at Karnataka State Open University?,The attendance rule at Karnataka State Open University is Minimum 75% attendance mandatory.
Karpagam University,Fees,What is the tuition fee for Karpagam University?,The tuition fee for Karpagam University is 147637 per semester.
Karpagam University,Placements,What is the highest placement package at Karpagam University?,The highest placement package at Karpagam University is 26.3 Lakh Per Annum.
Karpagam University,Facilities,Does Karpagam University have a hostel and what is the fee?,"Yes, Karpagam University has a hostel for both boys and girls. The fee is 59928 and the mess fee is 36017."
Karpagam University,Facilities,What are the library timings for Karpagam University?,The library timings for Karpagam University are 8:00 AM to 8:00 PM.
Karpagam University,Academics,What is the attendance rule at Karpagam University?,The attendance rule at Karpagam University is Minimum 75% attendance mandatory.
Karunya Institute Of Technology,Fees,What is the tuition fee for Karunya Institute Of Technology?,The tuition fee for Karunya Institute Of Technology is 87931 per semester.
Karunya Institute Of Technology,Placements,What is the highest placement package at Karunya Institute Of Technology?,The highest placement package at Karunya Institute Of Technology is 40.7 Lakh Per Annum.
Karunya Institute Of Technology,Facilities,Does Karunya Institute Of Technology have a hostel and what is the fee?,"Yes, Karunya Institute Of Technology has a hostel for both boys and girls. The fee is 64024 and the mess fee is 25100."
Karunya Institute Of Technology,Facilities,What are the library timings for Karunya Institute Of Technology?,The library timings for Karunya Institute Of Technology are 8:00 AM to 8:00 PM.
Karunya Institute Of Technology,Academics,What is the attendance rule at Karunya Institute Of Technology?,The attendance rule at Karunya Institute Of Technology is Minimum 75% attendance mandatory.
University of Kashmir,Fees,What is the tuition fee for University of Kashmir?,The tuition fee for University of Kashmir is 55043 per semester.
University of Kashmir,Placements,What is the highest placement package at University of Kashmir?,The highest placement package at University of Kashmir is 25.1 Lakh Per Annum.
University of Kashmir,Facilities,Does University of Kashmir have a hostel and what is the fee?,"Yes, University of Kashmir has a hostel for both boys and girls. The fee is 51976 and the mess fee is 29443."
University of Kashmir,Facilities,What are the library timings for University of Kashmir?,The library timings for University of Kashmir are 8:00 AM to 8:00 PM.
University of Kashmir,Academics,What is the attendance rule at University of Kashmir?,The attendance rule at University of Kashmir is Minimum 75% attendance mandatory.
Kerala Agricultural University,Fees,What is the tuition fee for Kerala Agricultural University?,The tuition fee for Kerala Agricultural University is 113031 per semester.
Kerala Agricultural University,Placements,What is the highest placement package at Kerala Agricultural University?,The highest placement package at Kerala Agricultural University is 44.9 Lakh Per Annum.
Kerala Agricultural University,Facilities,Does Kerala Agricultural University have a hostel and what is the fee?,"Yes, Kerala Agricultural University has a hostel for both boys and girls. The fee is 66429 and the mess fee is 30646."
Kerala Agricultural University,Facilities,What are the library timings for Kerala Agricultural University?,The library timings for Kerala Agricultural University are 8:00 AM to 8:00 PM.
Kerala Agricultural University,Academics,What is the attendance rule at Kerala Agricultural University?,The attendance rule at Kerala Agricultural University is Minimum 75% attendance mandatory.
University of Kerala,Fees,What is the tuition fee for University of Kerala?,The tuition fee for University of Kerala is 139914 per semester.
University of Kerala,Placements,What is the highest placement package at University of Kerala?,The highest placement package at University of Kerala is 24.7 Lakh Per Annum.
University of Kerala,Facilities,Does University of Kerala have a hostel and what is the fee?,"Yes, University of Kerala has a hostel for both boys and girls. The fee is 66528 and the mess fee is 42506."
University of Kerala,Facilities,What are the library timings for University of Kerala?,The library timings for University of Kerala are 8:00 AM to 8:00 PM.
University of Kerala,Academics,What is the attendance rule at University of Kerala?,The attendance rule at University of Kerala is Minimum 75% attendance mandatory.
Kohinoor School of Hospitality Management,Fees,What is the tuition fee for Kohinoor School of Hospitality Management?,The tuition fee for Kohinoor School of Hospitality Management is 117615 per semester.
Kohinoor School of Hospitality Management,Placements,What is the highest placement package at Kohinoor School of Hospitality Management?,The highest placement package at Kohinoor School of Hospitality Management is 20.9 Lakh Per Annum.
Kohinoor School of Hospitality Management,Facilities,Does Kohinoor School of Hospitality Management have a hostel and what is the fee?,"Yes, Kohinoor School of Hospitality Management has a hostel for both boys and girls. The fee is 46508 and the mess fee is 35956."
Kohinoor School of Hospitality Management,Facilities,What are the library timings for Kohinoor School of Hospitality Management?,The library timings for Kohinoor School of Hospitality Management are 8:00 AM to 8:00 PM.
Kohinoor School of Hospitality Management,Academics,What is the attendance rule at Kohinoor School of Hospitality Management?,The attendance rule at Kohinoor School of Hospitality Management is Minimum 75% attendance mandatory.
University of Kalyani,Fees,What is the tuition fee for University of Kalyani?,The tuition fee for University of Kalyani is 108799 per semester.
University of Kalyani,Placements,What is the highest placement package at University of Kalyani?,The highest placement package at University of Kalyani is 31.2 Lakh Per Annum.
University of Kalyani,Facilities,Does University of Kalyani have a hostel and what is the fee?,"Yes, University of Kalyani has a hostel for both boys and girls. The fee is 63284 and the mess fee is 26489."
University of Kalyani,Facilities,What are the library timings for University of Kalyani?,The library timings for University of Kalyani are 8:00 AM to 8:00 PM.
University of Kalyani,Academics,What is the attendance rule at University of Kalyani?,The attendance rule at University of Kalyani is Minimum 75% attendance mandatory.
Krishna University,Fees,What is the tuition fee for Krishna University?,The tuition fee for Krishna University is 59436 per semester.
Krishna University,Placements,What is the highest placement package at Krishna University?,The highest placement package at Krishna University is 31.7 Lakh Per Annum.
Krishna University,Facilities,Does Krishna University have a hostel and what is the fee?,"Yes, Krishna University has a hostel for both boys and girls. The fee is 47251 and the mess fee is 37094."
Krishna University,Facilities,What are the library timings for Krishna University?,The library timings for Krishna University are 8:00 AM to 8:00 PM.
Krishna University,Academics,What is the attendance rule at Krishna University?,The attendance rule at Krishna University is Minimum 75% attendance mandatory.
Kameshwar Singh Darbhanga Sanskrit University,Fees,What is the tuition fee for Kameshwar Singh Darbhanga Sanskrit University?,The tuition fee for Kameshwar Singh Darbhanga Sanskrit University is 146060 per semester.
Kameshwar Singh Darbhanga Sanskrit University,Placements,What is the highest placement package at Kameshwar Singh Darbhanga Sanskrit University?,The highest placement package at Kameshwar Singh Darbhanga Sanskrit University is 30.1 Lakh Per Annum.
Kameshwar Singh Darbhanga Sanskrit University,Facilities,Does Kameshwar Singh Darbhanga Sanskrit University have a hostel and what is the fee?,"Yes, Kameshwar Singh Darbhanga Sanskrit University has a hostel for both boys and girls. The fee is 66117 and the mess fee is 42758."
Kameshwar Singh Darbhanga Sanskrit University,Facilities,What are the library timings for Kameshwar Singh Darbhanga Sanskrit University?,The library timings for Kameshwar Singh Darbhanga Sanskrit University are 8:00 AM to 8:00 PM.
Kameshwar Singh Darbhanga Sanskrit University,Academics,What is the attendance rule at Kameshwar Singh Darbhanga Sanskrit University?,The attendance rule at Kameshwar Singh Darbhanga Sanskrit University is Minimum 75% attendance mandatory.
Karnataka State Law University,Fees,What is the tuition fee for Karnataka State Law University?,The tuition fee for Karnataka State Law University is 106254 per semester.
Karnataka State Law University,Placements,What is the highest placement package at Karnataka State Law University?,The highest placement package at Karnataka State Law University is 18.4 Lakh Per Annum.
Karnataka State Law University,Facilities,Does Karnataka State Law University have a hostel and what is the fee?,"Yes, Karnataka State Law University has a hostel for both boys and girls. The fee is 62785 and the mess fee is 43141."
Karnataka State Law University,Facilities,What are the library timings for Karnataka State Law University?,The library timings for Karnataka State Law University are 8:00 AM to 8:00 PM.
Karnataka State Law University,Academics,What is the attendance rule at Karnataka State Law University?,The attendance rule at Karnataka State Law University is Minimum 75% attendance mandatory.
Karnatak University,Fees,What is the tuition fee for Karnatak University?,The tuition fee for Karnatak University is 46083 per semester.
Karnatak University,Placements,What is the highest placement package at Karnatak University?,The highest placement package at Karnatak University is 16.2 Lakh Per Annum.
Karnatak University,Facilities,Does Karnatak University have a hostel and what is the fee?,"Yes, Karnatak University has a hostel for both boys and girls. The fee is 59613 and the mess fee is 37122."
Karnatak University,Facilities,What are the library timings for Karnatak University?,The library timings for Karnatak University are 8:00 AM to 8:00 PM.
Karnatak University,Academics,What is the attendance rule at Karnatak University?,The attendance rule at Karnatak University is Minimum 75% attendance mandatory.
Kerala University of Fisheries and Ocean Sciences,Fees,What is the tuition fee for Kerala University of Fisheries and Ocean Sciences?,The tuition fee for Kerala University of Fisheries and Ocean Sciences is 76813 per semester.
Kerala University of Fisheries and Ocean Sciences,Placements,What is the highest placement package at Kerala University of Fisheries and Ocean Sciences?,The highest placement package at Kerala University of Fisheries and Ocean Sciences is 35.8 Lakh Per Annum.
Kerala University of Fisheries and Ocean Sciences,Facilities,Does Kerala University of Fisheries and Ocean Sciences have a hostel and what is the fee?,"Yes, Kerala University of Fisheries and Ocean Sciences has a hostel for both boys and girls. The fee is 51235 and the mess fee is 43071."
Kerala University of Fisheries and Ocean Sciences,Facilities,What are the library timings for Kerala University of Fisheries and Ocean Sciences?,The library timings for Kerala University of Fisheries and Ocean Sciences are 8:00 AM to 8:00 PM.
Kerala University of Fisheries and Ocean Sciences,Academics,What is the attendance rule at Kerala University of Fisheries and Ocean Sciences?,The attendance rule at Kerala University of Fisheries and Ocean Sciences is Minimum 75% attendance mandatory.
Kurukshetra University,Fees,What is the tuition fee for Kurukshetra University?,The tuition fee for Kurukshetra University is 71458 per semester.
Kurukshetra University,Placements,What is the highest placement package at Kurukshetra University?,The highest placement package at Kurukshetra University is 38.0 Lakh Per Annum.
Kurukshetra University,Facilities,Does Kurukshetra University have a hostel and what is the fee?,"Yes, Kurukshetra University has a hostel for both boys and girls. The fee is 53169 and the mess fee is 37569."
